"Allowed File Extensions","Allowed File Extensions"
"Upload Image / File","Upload Image / File"
"Extra Allowed File Extensions in WYSIWYG Editor","Extra Allowed File Extensions in WYSIWYG Editor"
"By default the following file extensions are available: 'doc', 'docm', 'docx', 'pdf', 'zip', 'svg'","By default the following file extensions are available: 'doc', 'docm', 'docx', 'pdf', 'zip', 'svg'"
